v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,2913,0x13bf100,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2922,0x13bf2a0,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2930,0x13bf480,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2939,0x13bf640,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2946,0x13bf6a0,12,ArrayConcat
code-creation,Builtin,3,2954,0x13bf6c0,12,ArrayPrototypeFill
code-creation,Builtin,3,2962,0x13bf6e0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2969,0x13bfaa0,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2976,0x13bfb40,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2984,0x13bfc20,561,ArrayIncludes
code-creation,Builtin,3,2992,0x13bfe60,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2999,0x13c01e0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,3007,0x13c0260,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,3015,0x13c02e0,569,ArrayIndexOf
code-creation,Builtin,3,3022,0x13c0520,12,ArrayPop
code-creation,Builtin,3,3029,0x13c0540,674,ArrayPrototypePop
code-creation,Builtin,3,3037,0x13c0800,12,ArrayPush
code-creation,Builtin,3,3044,0x13c0820,2758,ArrayPrototypePush
code-creation,Builtin,3,3052,0x13c1300,12,ArrayShift
code-creation,Builtin,3,3059,0x13c1320,12,ArrayUnshift
code-creation,Builtin,3,3066,0x13c1340,1074,CloneFastJSArray
code-creation,Builtin,3,3074,0x13c1780,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3081,0x13c2140,1082,ExtractFastJSArray
code-creation,Builtin,3,3089,0x13c2580,287,ArrayPrototypeEntries
code-creation,Builtin,3,3096,0x13c26a0,271,ArrayPrototypeKeys
code-creation,Builtin,3,3104,0x13c27c0,287,ArrayPrototypeValues
code-creation,Builtin,3,3111,0x13c28e0,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3119,0x13c39e0,3968,FlattenIntoArray
code-creation,Builtin,3,3126,0x13c4980,3992,FlatMapIntoArray
code-creation,Builtin,3,3134,0x13c5920,508,ArrayPrototypeFlat
code-creation,Builtin,3,3141,0x13c5b20,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,3149,0x13c5d60,12,ArrayBufferConstructor
code-creation,Builtin,3,3156,0x13c5d80,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3164,0x13c5da0,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3172,0x13c5dc0,12,ArrayBufferIsView
code-creation,Builtin,3,3180,0x13c5de0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3187,0x13c5e00,608,AsyncFunctionEnter
code-creation,Builtin,3,3195,0x13c6080,161,AsyncFunctionReject
code-creation,Builtin,3,3203,0x13c6140,153,AsyncFunctionResolve
code-creation,Builtin,3,3210,0x13c61e0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,3218,0x13c6200,1286,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3226,0x13c6720,1286,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,3234,0x13c6c40,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3241,0x13c6d00,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3249,0x13c6dc0,12,BigIntConstructor
code-creation,Builtin,3,3257,0x13c6de0,12,BigIntAsUintN
code-creation,Builtin,3,3264,0x13c6e00,12,BigIntAsIntN
code-creation,Builtin,3,3272,0x13c6e20,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,3279,0x13c6e40,12,BigIntPrototypeToString
code-creation,Builtin,3,3287,0x13c6e60,12,BigIntPrototypeValueOf
code-creation,Builtin,3,3295,0x13c6e80,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3302,0x13c6ea0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3310,0x13c6ec0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,3318,0x13c6ee0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,3326,0x13c6f00,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3334,0x13c6f20,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3343,0x13c6f40,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3351,0x13c6f60,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,3359,0x13c6f80,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,3367,0x13c6fa0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3374,0x13c6fc0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,3382,0x13c6fe0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,3390,0x13c7000,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,3398,0x13c7020,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,3405,0x13c7040,12,CallSitePrototypeIsEval
code-creation,Builtin,3,3413,0x13c7060,12,CallSitePrototypeIsNative
code-creation,Builtin,3,3421,0x13c7080,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,3428,0x13c70a0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,3436,0x13c70c0,12,CallSitePrototypeToString
code-creation,Builtin,3,3444,0x13c70e0,12,ConsoleDebug
code-creation,Builtin,3,3451,0x13c7100,12,ConsoleError
code-creation,Builtin,3,3459,0x13c7120,12,ConsoleInfo
code-creation,Builtin,3,3466,0x13c7140,12,ConsoleLog
code-creation,Builtin,3,3473,0x13c7160,12,ConsoleWarn
code-creation,Builtin,3,3480,0x13c7180,12,ConsoleDir
code-creation,Builtin,3,3488,0x13c71a0,12,ConsoleDirXml
code-creation,Builtin,3,3495,0x13c71c0,12,ConsoleTable
code-creation,Builtin,3,3502,0x13c71e0,12,ConsoleTrace
code-creation,Builtin,3,3510,0x13c7200,12,ConsoleGroup
code-creation,Builtin,3,3517,0x13c7220,12,ConsoleGroupCollapsed
code-creation,Builtin,3,3524,0x13c7240,12,ConsoleGroupEnd
code-creation,Builtin,3,3531,0x13c7260,12,ConsoleClear
code-creation,Builtin,3,3539,0x13c7280,12,ConsoleCount
code-creation,Builtin,3,3546,0x13c72a0,12,ConsoleCountReset
code-creation,Builtin,3,3553,0x13c72c0,12,ConsoleAssert
code-creation,Builtin,3,3561,0x13c72e0,12,ConsoleProfile
