v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,2477,0x139c840,129,ToName
code-creation,Builtin,3,2484,0x139c8e0,235,NonNumberToNumber
code-creation,Builtin,3,2492,0x139c9e0,255,NonNumberToNumeric
code-creation,Builtin,3,2499,0x139cae0,239,ToNumber
code-creation,Builtin,3,2506,0x139cbe0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2513,0x139cd00,275,ToNumeric
code-creation,Builtin,3,2517,0x139ce20,261,NumberToString
code-creation,Builtin,3,2521,0x139cf40,382,ToLength
code-creation,Builtin,3,2525,0x139d0c0,140,Typeof
code-creation,Builtin,3,2530,0x139d160,69,GetSuperConstructor
code-creation,Builtin,3,2534,0x139d1c0,125,BigIntToI64
code-creation,Builtin,3,2538,0x139d240,12,BigIntToI32Pair
code-creation,Builtin,3,2543,0x139d260,309,I64ToBigInt
code-creation,Builtin,3,2551,0x139d3a0,12,I32PairToBigInt
code-creation,Builtin,3,2556,0x139d3c0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2562,0x139d440,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2567,0x139e1c0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2572,0x13a2040,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2577,0x13a2140,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2583,0x13a21a0,20,LoadIC_StringLength
code-creation,Builtin,3,2588,0x13a21c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2593,0x13a21e0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,2598,0x13a2de0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2604,0x13a2e20,6952,StoreIC_NoFeedback
code-creation,Builtin,3,2609,0x13a4960,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2614,0x13a4a20,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2620,0x13a4a80,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2625,0x13a4be0,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2631,0x13a4d40,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2637,0x13a4ea0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2643,0x13a5000,6836,StoreFastElementIC_Standard
